model_id,param,value
GNB-1,NA,NA
KNN-1,n_neighbors,2
KNN-1,weights,uniform
KNN-2,n_neighbors,2
KNN-2,weights,distance
KNN-3,n_neighbors,3
KNN-3,weights,uniform
KNN-4,n_neighbors,3
KNN-4,weights,distance
KNN-5,n_neighbors,4
KNN-5,weights,uniform
KNN-6,n_neighbors,4
KNN-6,weights,distance
KNN-7,n_neighbors,5
KNN-7,weights,uniform
KNN-8,n_neighbors,5
KNN-8,weights,distance
KNN-9,n_neighbors,6
KNN-9,weights,uniform
KNN-10,n_neighbors,6
KNN-10,weights,distance
KNN-11,n_neighbors,8
KNN-11,weights,uniform
KNN-12,n_neighbors,8
KNN-12,weights,distance
KNN-13,n_neighbors,10
KNN-13,weights,uniform
KNN-14,n_neighbors,10
KNN-14,weights,distance
KNN-15,n_neighbors,12
KNN-15,weights,uniform
KNN-16,n_neighbors,12
KNN-16,weights,distance
KNN-17,n_neighbors,16
KNN-17,weights,uniform
KNN-18,n_neighbors,16
KNN-18,weights,distance
KNN-19,n_neighbors,20
KNN-19,weights,uniform
KNN-20,n_neighbors,20
KNN-20,weights,distance
KNN-21,n_neighbors,24
KNN-21,weights,uniform
KNN-22,n_neighbors,24
KNN-22,weights,distance
KNN-23,n_neighbors,28
KNN-23,weights,uniform
KNN-24,n_neighbors,28
KNN-24,weights,distance
KNN-25,n_neighbors,32
KNN-25,weights,uniform
KNN-26,n_neighbors,32
KNN-26,weights,distance
KNN-27,n_neighbors,36
KNN-27,weights,uniform
KNN-28,n_neighbors,36
KNN-28,weights,distance
KNN-29,n_neighbors,40
KNN-29,weights,uniform
KNN-30,n_neighbors,40
KNN-30,weights,distance
LG-1,penalty,
LG-2,C,1
LG-2,penalty,l1
LG-3,C,1
LG-3,penalty,l2
LG-4,C,2
LG-4,penalty,l1
LG-5,C,2
LG-5,penalty,l2
LG-6,C,4
LG-6,penalty,l1
LG-7,C,4
LG-7,penalty,l2
LG-8,C,8
LG-8,penalty,l1
LG-9,C,8
LG-9,penalty,l2
LG-10,C,16
LG-10,penalty,l1
LG-11,C,16
LG-11,penalty,l2
LG-12,C,1
LG-12,l1_ratio,0.2
LG-12,penalty,elasticnet
LG-13,C,1
LG-13,l1_ratio,0.4
LG-13,penalty,elasticnet
LG-14,C,1
LG-14,l1_ratio,0.6
LG-14,penalty,elasticnet
LG-15,C,1
LG-15,l1_ratio,0.8
LG-15,penalty,elasticnet
LG-16,C,2
LG-16,l1_ratio,0.2
LG-16,penalty,elasticnet
LG-17,C,2
LG-17,l1_ratio,0.4
LG-17,penalty,elasticnet
LG-18,C,2
LG-18,l1_ratio,0.6
LG-18,penalty,elasticnet
LG-19,C,2
LG-19,l1_ratio,0.8
LG-19,penalty,elasticnet
LG-20,C,4
LG-20,l1_ratio,0.2
LG-20,penalty,elasticnet
LG-21,C,4
LG-21,l1_ratio,0.4
LG-21,penalty,elasticnet
LG-22,C,4
LG-22,l1_ratio,0.6
LG-22,penalty,elasticnet
LG-23,C,4
LG-23,l1_ratio,0.8
LG-23,penalty,elasticnet
LG-24,C,8
LG-24,l1_ratio,0.2
LG-24,penalty,elasticnet
LG-25,C,8
LG-25,l1_ratio,0.4
LG-25,penalty,elasticnet
LG-26,C,8
LG-26,l1_ratio,0.6
LG-26,penalty,elasticnet
LG-27,C,8
LG-27,l1_ratio,0.8
LG-27,penalty,elasticnet
LG-28,C,16
LG-28,l1_ratio,0.2
LG-28,penalty,elasticnet
LG-29,C,16
LG-29,l1_ratio,0.4
LG-29,penalty,elasticnet
LG-30,C,16
LG-30,l1_ratio,0.6
LG-30,penalty,elasticnet
LG-31,C,16
LG-31,l1_ratio,0.8
LG-31,penalty,elasticnet
