model_id,param,value
GB-1,learning_rate,0.01
GB-1,n_estimators,10.0
GB-2,learning_rate,0.01
GB-2,n_estimators,25.0
GB-3,learning_rate,0.01
GB-3,n_estimators,50.0
GB-4,learning_rate,0.01
GB-4,n_estimators,75.0
GB-5,learning_rate,0.01
GB-5,n_estimators,100.0
GB-6,learning_rate,0.01
GB-6,n_estimators,125.0
GB-7,learning_rate,0.01
GB-7,n_estimators,150.0
GB-8,learning_rate,0.01
GB-8,n_estimators,200.0
GB-9,learning_rate,0.01
GB-9,n_estimators,250.0
GB-10,learning_rate,0.02
GB-10,n_estimators,10.0
GB-11,learning_rate,0.02
GB-11,n_estimators,25.0
GB-12,learning_rate,0.02
GB-12,n_estimators,50.0
GB-13,learning_rate,0.02
GB-13,n_estimators,75.0
GB-14,learning_rate,0.02
GB-14,n_estimators,100.0
GB-15,learning_rate,0.02
GB-15,n_estimators,125.0
GB-16,learning_rate,0.02
GB-16,n_estimators,150.0
GB-17,learning_rate,0.02
GB-17,n_estimators,200.0
GB-18,learning_rate,0.02
GB-18,n_estimators,250.0
GB-19,learning_rate,0.05
GB-19,n_estimators,10.0
GB-20,learning_rate,0.05
GB-20,n_estimators,25.0
GB-21,learning_rate,0.05
GB-21,n_estimators,50.0
GB-22,learning_rate,0.05
GB-22,n_estimators,75.0
GB-23,learning_rate,0.05
GB-23,n_estimators,100.0
GB-24,learning_rate,0.05
GB-24,n_estimators,125.0
GB-25,learning_rate,0.05
GB-25,n_estimators,150.0
GB-26,learning_rate,0.05
GB-26,n_estimators,200.0
GB-27,learning_rate,0.05
GB-27,n_estimators,250.0
GB-28,learning_rate,0.1
GB-28,n_estimators,10.0
GB-29,learning_rate,0.1
GB-29,n_estimators,25.0
GB-30,learning_rate,0.1
GB-30,n_estimators,50.0
GB-31,learning_rate,0.1
GB-31,n_estimators,75.0
GB-32,learning_rate,0.1
GB-32,n_estimators,100.0
GB-33,learning_rate,0.1
GB-33,n_estimators,125.0
GB-34,learning_rate,0.1
GB-34,n_estimators,150.0
GB-35,learning_rate,0.1
GB-35,n_estimators,200.0
GB-36,learning_rate,0.1
GB-36,n_estimators,250.0
GB-37,learning_rate,0.15
GB-37,n_estimators,10.0
GB-38,learning_rate,0.15
GB-38,n_estimators,25.0
GB-39,learning_rate,0.15
GB-39,n_estimators,50.0
GB-40,learning_rate,0.15
GB-40,n_estimators,75.0
GB-41,learning_rate,0.15
GB-41,n_estimators,100.0
GB-42,learning_rate,0.15
GB-42,n_estimators,125.0
GB-43,learning_rate,0.15
GB-43,n_estimators,150.0
GB-44,learning_rate,0.15
GB-44,n_estimators,200.0
GB-45,learning_rate,0.15
GB-45,n_estimators,250.0
GB-46,learning_rate,0.2
GB-46,n_estimators,10.0
GB-47,learning_rate,0.2
GB-47,n_estimators,25.0
GB-48,learning_rate,0.2
GB-48,n_estimators,50.0
GB-49,learning_rate,0.2
GB-49,n_estimators,75.0
GB-50,learning_rate,0.2
GB-50,n_estimators,100.0
GB-51,learning_rate,0.2
GB-51,n_estimators,125.0
GB-52,learning_rate,0.2
GB-52,n_estimators,150.0
GB-53,learning_rate,0.2
GB-53,n_estimators,200.0
GB-54,learning_rate,0.2
GB-54,n_estimators,250.0
GB-55,learning_rate,0.25
GB-55,n_estimators,10.0
GB-56,learning_rate,0.25
GB-56,n_estimators,25.0
GB-57,learning_rate,0.25
GB-57,n_estimators,50.0
GB-58,learning_rate,0.25
GB-58,n_estimators,75.0
GB-59,learning_rate,0.25
GB-59,n_estimators,100.0
GB-60,learning_rate,0.25
GB-60,n_estimators,125.0
GB-61,learning_rate,0.25
GB-61,n_estimators,150.0
GB-62,learning_rate,0.25
GB-62,n_estimators,200.0
GB-63,learning_rate,0.25
GB-63,n_estimators,250.0
