model_type,id,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,accuracy,balanced_accuracy,f1_macro,f1_micro,f1_weighted,fbeta_2_macro,fbeta_3_macro,fbeta_4_macro,fbeta_2_micro,fbeta_3_micro,fbeta_4_micro,fbeta_2_weighted,fbeta_3_weighted,fbeta_4_weighted,cohen_kappa
Dummy,DUM-1-1,0.05789473684210526,0.2894736842105263,0.0837950138504155,0.2,0.2894736842105263,0.2894736842105263,0.2894736842105263,0.2,0.08979591836734693,0.2894736842105263,0.12996777658431793,0.13414634146341464,0.16058394160583941,0.17476635514018693,0.2894736842105263,0.2894736842105263,0.2894736842105263,0.19415917843388963,0.23242412600845178,0.25295130349237577,0.0
Dummy,DUM-1-2,0.05789473684210526,0.2894736842105263,0.0837950138504155,0.2,0.2894736842105263,0.2894736842105263,0.2894736842105263,0.2,0.08979591836734693,0.2894736842105263,0.12996777658431793,0.13414634146341464,0.16058394160583941,0.17476635514018693,0.2894736842105263,0.2894736842105263,0.2894736842105263,0.19415917843388963,0.23242412600845178,0.25295130349237577,0.0
Dummy,DUM-1-3,0.05405405405405406,0.2702702702702703,0.07304601899196493,0.2,0.2702702702702703,0.2702702702702703,0.2702702702702703,0.2,0.0851063829787234,0.2702702702702703,0.11500862564692352,0.12987012987012986,0.15748031496062992,0.17258883248730966,0.2702702702702703,0.2702702702702703,0.2702702702702703,0.1755001755001755,0.21281123643328367,0.2332281520098779,0.0
Dummy,DUM-1-4,0.05405405405405406,0.2702702702702703,0.07304601899196493,0.2,0.2702702702702703,0.2702702702702703,0.2702702702702703,0.2,0.0851063829787234,0.2702702702702703,0.11500862564692352,0.12987012987012986,0.15748031496062992,0.17258883248730966,0.2702702702702703,0.2702702702702703,0.2702702702702703,0.1755001755001755,0.21281123643328367,0.2332281520098779,0.0
Dummy,DUM-1-5,0.05405405405405406,0.2702702702702703,0.07304601899196493,0.2,0.2702702702702703,0.2702702702702703,0.2702702702702703,0.2,0.0851063829787234,0.2702702702702703,0.11500862564692352,0.12987012987012986,0.15748031496062992,0.17258883248730966,0.2702702702702703,0.2702702702702703,0.2702702702702703,0.1755001755001755,0.21281123643328367,0.2332281520098779,0.0
Dummy,DUM-1-6,0.05405405405405406,0.2702702702702703,0.07304601899196493,0.2,0.2702702702702703,0.2702702702702703,0.2702702702702703,0.2,0.0851063829787234,0.2702702702702703,0.11500862564692352,0.12987012987012986,0.15748031496062992,0.17258883248730966,0.2702702702702703,0.2702702702702703,0.2702702702702703,0.1755001755001755,0.21281123643328367,0.2332281520098779,0.0
Dummy,DUM-1-7,0.05945945945945946,0.2972972972972973,0.08838568298027759,0.2,0.2972972972972973,0.2972972972972973,0.2972972972972973,0.2,0.09166666666666666,0.2972972972972973,0.13626126126126126,0.13580246913580246,0.16176470588235295,0.1755868544600939,0.2972972972972973,0.2972972972972973,0.2972972972972973,0.20186853520186854,0.24046104928457868,0.26100748635959903,0.0
Dummy,DUM-1-8,0.05945945945945946,0.2972972972972973,0.08838568298027759,0.2,0.2972972972972973,0.2972972972972973,0.2972972972972973,0.2,0.09166666666666666,0.2972972972972973,0.13626126126126126,0.13580246913580246,0.16176470588235295,0.1755868544600939,0.2972972972972973,0.2972972972972973,0.2972972972972973,0.20186853520186854,0.24046104928457868,0.26100748635959903,0.0
Dummy,DUM-1-9,0.05945945945945946,0.2972972972972973,0.08838568298027759,0.2,0.2972972972972973,0.2972972972972973,0.2972972972972973,0.2,0.09166666666666666,0.2972972972972973,0.13626126126126126,0.13580246913580246,0.16176470588235295,0.1755868544600939,0.2972972972972973,0.2972972972972973,0.2972972972972973,0.20186853520186854,0.24046104928457868,0.26100748635959903,0.0
Dummy,DUM-1-10,0.05945945945945946,0.2972972972972973,0.08838568298027759,0.2,0.2972972972972973,0.2972972972972973,0.2972972972972973,0.2,0.09166666666666666,0.2972972972972973,0.13626126126126126,0.13580246913580246,0.16176470588235295,0.1755868544600939,0.2972972972972973,0.2972972972972973,0.2972972972972973,0.20186853520186854,0.24046104928457868,0.26100748635959903,0.0
