model_id,param,value
RF-1,class_weight,
RF-1,criterion,gini
RF-1,max_depth,
RF-1,max_features,
RF-1,min_samples_leaf,2
RF-1,min_samples_split,4
RF-1,n_estimators,50
RF-2,class_weight,
RF-2,criterion,gini
RF-2,max_depth,
RF-2,max_features,
RF-2,min_samples_leaf,2
RF-2,min_samples_split,4
RF-2,n_estimators,100
RF-3,class_weight,
RF-3,criterion,gini
RF-3,max_depth,
RF-3,max_features,
RF-3,min_samples_leaf,2
RF-3,min_samples_split,4
RF-3,n_estimators,300
RF-4,class_weight,
RF-4,criterion,gini
RF-4,max_depth,
RF-4,max_features,
RF-4,min_samples_leaf,2
RF-4,min_samples_split,4
RF-4,n_estimators,500
RF-5,class_weight,
RF-5,criterion,gini
RF-5,max_depth,
RF-5,max_features,
RF-5,min_samples_leaf,2
RF-5,min_samples_split,4
RF-5,n_estimators,1000
RF-6,class_weight,
RF-6,criterion,gini
RF-6,max_depth,
RF-6,max_features,
RF-6,min_samples_leaf,2
RF-6,min_samples_split,8
RF-6,n_estimators,50
RF-7,class_weight,
RF-7,criterion,gini
RF-7,max_depth,
RF-7,max_features,
RF-7,min_samples_leaf,2
RF-7,min_samples_split,8
RF-7,n_estimators,100
RF-8,class_weight,
RF-8,criterion,gini
RF-8,max_depth,
RF-8,max_features,
RF-8,min_samples_leaf,2
RF-8,min_samples_split,8
RF-8,n_estimators,300
RF-9,class_weight,
RF-9,criterion,gini
RF-9,max_depth,
RF-9,max_features,
RF-9,min_samples_leaf,2
RF-9,min_samples_split,8
RF-9,n_estimators,500
RF-10,class_weight,
RF-10,criterion,gini
RF-10,max_depth,
RF-10,max_features,
RF-10,min_samples_leaf,2
RF-10,min_samples_split,8
RF-10,n_estimators,1000
RF-11,class_weight,
RF-11,criterion,gini
RF-11,max_depth,
RF-11,max_features,
RF-11,min_samples_leaf,2
RF-11,min_samples_split,16
RF-11,n_estimators,50
RF-12,class_weight,
RF-12,criterion,gini
RF-12,max_depth,
RF-12,max_features,
RF-12,min_samples_leaf,2
RF-12,min_samples_split,16
RF-12,n_estimators,100
RF-13,class_weight,
RF-13,criterion,gini
RF-13,max_depth,
RF-13,max_features,
RF-13,min_samples_leaf,2
RF-13,min_samples_split,16
RF-13,n_estimators,300
RF-14,class_weight,
RF-14,criterion,gini
RF-14,max_depth,
RF-14,max_features,
RF-14,min_samples_leaf,2
RF-14,min_samples_split,16
RF-14,n_estimators,500
RF-15,class_weight,
RF-15,criterion,gini
RF-15,max_depth,
RF-15,max_features,
RF-15,min_samples_leaf,2
RF-15,min_samples_split,16
