model_id,param,value
SVM-1,C,0.001
SVM-1,class_weight,
SVM-1,kernel,linear
SVM-2,C,0.001
SVM-2,class_weight,balanced
SVM-2,kernel,linear
SVM-3,C,0.005
SVM-3,class_weight,
SVM-3,kernel,linear
SVM-4,C,0.005
SVM-4,class_weight,balanced
SVM-4,kernel,linear
SVM-5,C,0.01
SVM-5,class_weight,
SVM-5,kernel,linear
SVM-6,C,0.01
SVM-6,class_weight,balanced
SVM-6,kernel,linear
SVM-7,C,0.03
SVM-7,class_weight,
SVM-7,kernel,linear
SVM-8,C,0.03
SVM-8,class_weight,balanced
SVM-8,kernel,linear
SVM-9,C,0.05
SVM-9,class_weight,
SVM-9,kernel,linear
SVM-10,C,0.05
SVM-10,class_weight,balanced
SVM-10,kernel,linear
SVM-11,C,0.07
SVM-11,class_weight,
SVM-11,kernel,linear
SVM-12,C,0.07
SVM-12,class_weight,balanced
SVM-12,kernel,linear
SVM-13,C,0.1
SVM-13,class_weight,
SVM-13,kernel,linear
SVM-14,C,0.1
SVM-14,class_weight,balanced
SVM-14,kernel,linear
SVM-15,C,0.12
SVM-15,class_weight,
SVM-15,kernel,linear
SVM-16,C,0.12
SVM-16,class_weight,balanced
SVM-16,kernel,linear
SVM-17,C,0.15
SVM-17,class_weight,
SVM-17,kernel,linear
SVM-18,C,0.15
SVM-18,class_weight,balanced
SVM-18,kernel,linear
SVM-19,C,0.2
SVM-19,class_weight,
SVM-19,kernel,linear
SVM-20,C,0.2
SVM-20,class_weight,balanced
SVM-20,kernel,linear
SVM-21,C,0.25
SVM-21,class_weight,
SVM-21,kernel,linear
SVM-22,C,0.25
SVM-22,class_weight,balanced
SVM-22,kernel,linear
SVM-23,C,0.3
SVM-23,class_weight,
SVM-23,kernel,linear
SVM-24,C,0.3
SVM-24,class_weight,balanced
SVM-24,kernel,linear
SVM-25,C,0.5
SVM-25,class_weight,
SVM-25,kernel,linear
SVM-26,C,0.5
SVM-26,class_weight,balanced
SVM-26,kernel,linear
SVM-27,C,1
SVM-27,class_weight,
SVM-27,kernel,linear
SVM-28,C,1
SVM-28,class_weight,balanced
SVM-28,kernel,linear
