model_id,param,value
LSVM-1,C,0.001
LSVM-1,class_weight,
LSVM-1,dual,True
LSVM-1,loss,hinge
LSVM-1,penalty,l2
LSVM-2,C,0.001
LSVM-2,class_weight,balanced
LSVM-2,dual,True
LSVM-2,loss,hinge
LSVM-2,penalty,l2
LSVM-3,C,0.005
LSVM-3,class_weight,
LSVM-3,dual,True
LSVM-3,loss,hinge
LSVM-3,penalty,l2
LSVM-4,C,0.005
LSVM-4,class_weight,balanced
LSVM-4,dual,True
LSVM-4,loss,hinge
LSVM-4,penalty,l2
LSVM-5,C,0.01
LSVM-5,class_weight,
LSVM-5,dual,True
LSVM-5,loss,hinge
LSVM-5,penalty,l2
LSVM-6,C,0.01
LSVM-6,class_weight,balanced
LSVM-6,dual,True
LSVM-6,loss,hinge
LSVM-6,penalty,l2
LSVM-7,C,0.03
LSVM-7,class_weight,
LSVM-7,dual,True
LSVM-7,loss,hinge
LSVM-7,penalty,l2
LSVM-8,C,0.03
LSVM-8,class_weight,balanced
LSVM-8,dual,True
LSVM-8,loss,hinge
LSVM-8,penalty,l2
LSVM-9,C,0.05
LSVM-9,class_weight,
LSVM-9,dual,True
LSVM-9,loss,hinge
LSVM-9,penalty,l2
LSVM-10,C,0.05
LSVM-10,class_weight,balanced
LSVM-10,dual,True
LSVM-10,loss,hinge
LSVM-10,penalty,l2
LSVM-11,C,0.07
LSVM-11,class_weight,
LSVM-11,dual,True
LSVM-11,loss,hinge
LSVM-11,penalty,l2
LSVM-12,C,0.07
LSVM-12,class_weight,balanced
LSVM-12,dual,True
LSVM-12,loss,hinge
LSVM-12,penalty,l2
LSVM-13,C,0.1
LSVM-13,class_weight,
LSVM-13,dual,True
LSVM-13,loss,hinge
LSVM-13,penalty,l2
LSVM-14,C,0.1
LSVM-14,class_weight,balanced
LSVM-14,dual,True
LSVM-14,loss,hinge
LSVM-14,penalty,l2
LSVM-15,C,0.12
LSVM-15,class_weight,
LSVM-15,dual,True
LSVM-15,loss,hinge
LSVM-15,penalty,l2
LSVM-16,C,0.12
LSVM-16,class_weight,balanced
LSVM-16,dual,True
LSVM-16,loss,hinge
LSVM-16,penalty,l2
LSVM-17,C,0.15
LSVM-17,class_weight,
LSVM-17,dual,True
LSVM-17,loss,hinge
LSVM-17,penalty,l2
LSVM-18,C,0.15
LSVM-18,class_weight,balanced
LSVM-18,dual,True
LSVM-18,loss,hinge
LSVM-18,penalty,l2
LSVM-19,C,0.2
LSVM-19,class_weight,
LSVM-19,dual,True
LSVM-19,loss,hinge
LSVM-19,penalty,l2
LSVM-20,C,0.2
LSVM-20,class_weight,balanced
LSVM-20,dual,True
LSVM-20,loss,hinge
LSVM-20,penalty,l2
LSVM-21,C,0.25
LSVM-21,class_weight,
LSVM-21,dual,True
LSVM-21,loss,hinge
LSVM-21,penalty,l2
LSVM-22,C,0.25
LSVM-22,class_weight,balanced
LSVM-22,dual,True
LSVM-22,loss,hinge
LSVM-22,penalty,l2
LSVM-23,C,0.3
LSVM-23,class_weight,
LSVM-23,dual,True
LSVM-23,loss,hinge
LSVM-23,penalty,l2
LSVM-24,C,0.3
LSVM-24,class_weight,balanced
LSVM-24,dual,True
LSVM-24,loss,hinge
LSVM-24,penalty,l2
LSVM-25,C,0.5
LSVM-25,class_weight,
LSVM-25,dual,True
LSVM-25,loss,hinge
LSVM-25,penalty,l2
LSVM-26,C,0.5
LSVM-26,class_weight,balanced
LSVM-26,dual,True
LSVM-26,loss,hinge
LSVM-26,penalty,l2
LSVM-27,C,1
LSVM-27,class_weight,
LSVM-27,dual,True
LSVM-27,loss,hinge
LSVM-27,penalty,l2
LSVM-28,C,1
LSVM-28,class_weight,balanced
LSVM-28,dual,True
LSVM-28,loss,hinge
LSVM-28,penalty,l2
LSVM-29,C,10
LSVM-29,class_weight,
LSVM-29,dual,True
LSVM-29,loss,hinge
LSVM-29,penalty,l2
LSVM-30,C,10
LSVM-30,class_weight,balanced
LSVM-30,dual,True
LSVM-30,loss,hinge
LSVM-30,penalty,l2
LSVM-31,C,100
LSVM-31,class_weight,
LSVM-31,dual,True
LSVM-31,loss,hinge
LSVM-31,penalty,l2
LSVM-32,C,100
LSVM-32,class_weight,balanced
LSVM-32,dual,True
LSVM-32,loss,hinge
LSVM-32,penalty,l2
LSVM-33,C,0.001
LSVM-33,class_weight,
LSVM-33,dual,False
LSVM-33,loss,squared_hinge
LSVM-33,penalty,l1
LSVM-34,C,0.001
LSVM-34,class_weight,
LSVM-34,dual,False
LSVM-34,loss,squared_hinge
LSVM-34,penalty,l2
LSVM-35,C,0.001
LSVM-35,class_weight,balanced
LSVM-35,dual,False
LSVM-35,loss,squared_hinge
LSVM-35,penalty,l1
LSVM-36,C,0.001
LSVM-36,class_weight,balanced
LSVM-36,dual,False
LSVM-36,loss,squared_hinge
LSVM-36,penalty,l2
LSVM-37,C,0.005
LSVM-37,class_weight,
LSVM-37,dual,False
LSVM-37,loss,squared_hinge
LSVM-37,penalty,l1
LSVM-38,C,0.005
LSVM-38,class_weight,
LSVM-38,dual,False
LSVM-38,loss,squared_hinge
LSVM-38,penalty,l2
LSVM-39,C,0.005
LSVM-39,class_weight,balanced
LSVM-39,dual,False
LSVM-39,loss,squared_hinge
LSVM-39,penalty,l1
LSVM-40,C,0.005
LSVM-40,class_weight,balanced
LSVM-40,dual,False
LSVM-40,loss,squared_hinge
LSVM-40,penalty,l2
LSVM-41,C,0.01
LSVM-41,class_weight,
LSVM-41,dual,False
LSVM-41,loss,squared_hinge
LSVM-41,penalty,l1
LSVM-42,C,0.01
LSVM-42,class_weight,
LSVM-42,dual,False
LSVM-42,loss,squared_hinge
LSVM-42,penalty,l2
LSVM-43,C,0.01
LSVM-43,class_weight,balanced
LSVM-43,dual,False
LSVM-43,loss,squared_hinge
LSVM-43,penalty,l1
LSVM-44,C,0.01
LSVM-44,class_weight,balanced
LSVM-44,dual,False
LSVM-44,loss,squared_hinge
LSVM-44,penalty,l2
LSVM-45,C,0.03
LSVM-45,class_weight,
LSVM-45,dual,False
LSVM-45,loss,squared_hinge
LSVM-45,penalty,l1
LSVM-46,C,0.03
LSVM-46,class_weight,
LSVM-46,dual,False
LSVM-46,loss,squared_hinge
LSVM-46,penalty,l2
LSVM-47,C,0.03
LSVM-47,class_weight,balanced
LSVM-47,dual,False
LSVM-47,loss,squared_hinge
LSVM-47,penalty,l1
LSVM-48,C,0.03
LSVM-48,class_weight,balanced
LSVM-48,dual,False
LSVM-48,loss,squared_hinge
LSVM-48,penalty,l2
LSVM-49,C,0.05
LSVM-49,class_weight,
LSVM-49,dual,False
LSVM-49,loss,squared_hinge
LSVM-49,penalty,l1
LSVM-50,C,0.05
LSVM-50,class_weight,
LSVM-50,dual,False
LSVM-50,loss,squared_hinge
LSVM-50,penalty,l2
LSVM-51,C,0.05
LSVM-51,class_weight,balanced
LSVM-51,dual,False
LSVM-51,loss,squared_hinge
LSVM-51,penalty,l1
LSVM-52,C,0.05
LSVM-52,class_weight,balanced
LSVM-52,dual,False
LSVM-52,loss,squared_hinge
LSVM-52,penalty,l2
LSVM-53,C,0.07
LSVM-53,class_weight,
LSVM-53,dual,False
LSVM-53,loss,squared_hinge
LSVM-53,penalty,l1
LSVM-54,C,0.07
LSVM-54,class_weight,
LSVM-54,dual,False
LSVM-54,loss,squared_hinge
LSVM-54,penalty,l2
LSVM-55,C,0.07
LSVM-55,class_weight,balanced
LSVM-55,dual,False
LSVM-55,loss,squared_hinge
LSVM-55,penalty,l1
LSVM-56,C,0.07
LSVM-56,class_weight,balanced
LSVM-56,dual,False
LSVM-56,loss,squared_hinge
LSVM-56,penalty,l2
LSVM-57,C,0.1
LSVM-57,class_weight,
LSVM-57,dual,False
LSVM-57,loss,squared_hinge
LSVM-57,penalty,l1
LSVM-58,C,0.1
LSVM-58,class_weight,
LSVM-58,dual,False
LSVM-58,loss,squared_hinge
LSVM-58,penalty,l2
LSVM-59,C,0.1
LSVM-59,class_weight,balanced
LSVM-59,dual,False
LSVM-59,loss,squared_hinge
LSVM-59,penalty,l1
LSVM-60,C,0.1
LSVM-60,class_weight,balanced
LSVM-60,dual,False
LSVM-60,loss,squared_hinge
LSVM-60,penalty,l2
LSVM-61,C,0.12
LSVM-61,class_weight,
LSVM-61,dual,False
LSVM-61,loss,squared_hinge
LSVM-61,penalty,l1
LSVM-62,C,0.12
LSVM-62,class_weight,
LSVM-62,dual,False
LSVM-62,loss,squared_hinge
LSVM-62,penalty,l2
LSVM-63,C,0.12
LSVM-63,class_weight,balanced
LSVM-63,dual,False
LSVM-63,loss,squared_hinge
LSVM-63,penalty,l1
LSVM-64,C,0.12
LSVM-64,class_weight,balanced
LSVM-64,dual,False
LSVM-64,loss,squared_hinge
LSVM-64,penalty,l2
LSVM-65,C,0.15
LSVM-65,class_weight,
LSVM-65,dual,False
LSVM-65,loss,squared_hinge
LSVM-65,penalty,l1
LSVM-66,C,0.15
LSVM-66,class_weight,
LSVM-66,dual,False
LSVM-66,loss,squared_hinge
LSVM-66,penalty,l2
LSVM-67,C,0.15
LSVM-67,class_weight,balanced
LSVM-67,dual,False
LSVM-67,loss,squared_hinge
LSVM-67,penalty,l1
LSVM-68,C,0.15
LSVM-68,class_weight,balanced
LSVM-68,dual,False
LSVM-68,loss,squared_hinge
LSVM-68,penalty,l2
LSVM-69,C,0.2
LSVM-69,class_weight,
LSVM-69,dual,False
LSVM-69,loss,squared_hinge
LSVM-69,penalty,l1
LSVM-70,C,0.2
LSVM-70,class_weight,
LSVM-70,dual,False
LSVM-70,loss,squared_hinge
LSVM-70,penalty,l2
LSVM-71,C,0.2
LSVM-71,class_weight,balanced
LSVM-71,dual,False
LSVM-71,loss,squared_hinge
LSVM-71,penalty,l1
LSVM-72,C,0.2
LSVM-72,class_weight,balanced
LSVM-72,dual,False
LSVM-72,loss,squared_hinge
LSVM-72,penalty,l2
LSVM-73,C,0.25
LSVM-73,class_weight,
LSVM-73,dual,False
LSVM-73,loss,squared_hinge
LSVM-73,penalty,l1
LSVM-74,C,0.25
LSVM-74,class_weight,
LSVM-74,dual,False
LSVM-74,loss,squared_hinge
LSVM-74,penalty,l2
LSVM-75,C,0.25
LSVM-75,class_weight,balanced
LSVM-75,dual,False
LSVM-75,loss,squared_hinge
LSVM-75,penalty,l1
LSVM-76,C,0.25
LSVM-76,class_weight,balanced
LSVM-76,dual,False
LSVM-76,loss,squared_hinge
LSVM-76,penalty,l2
LSVM-77,C,0.3
LSVM-77,class_weight,
LSVM-77,dual,False
LSVM-77,loss,squared_hinge
LSVM-77,penalty,l1
LSVM-78,C,0.3
LSVM-78,class_weight,
LSVM-78,dual,False
LSVM-78,loss,squared_hinge
LSVM-78,penalty,l2
LSVM-79,C,0.3
LSVM-79,class_weight,balanced
LSVM-79,dual,False
LSVM-79,loss,squared_hinge
LSVM-79,penalty,l1
LSVM-80,C,0.3
LSVM-80,class_weight,balanced
LSVM-80,dual,False
LSVM-80,loss,squared_hinge
LSVM-80,penalty,l2
LSVM-81,C,0.5
LSVM-81,class_weight,
LSVM-81,dual,False
LSVM-81,loss,squared_hinge
LSVM-81,penalty,l1
LSVM-82,C,0.5
LSVM-82,class_weight,
LSVM-82,dual,False
LSVM-82,loss,squared_hinge
LSVM-82,penalty,l2
LSVM-83,C,0.5
LSVM-83,class_weight,balanced
LSVM-83,dual,False
LSVM-83,loss,squared_hinge
LSVM-83,penalty,l1
LSVM-84,C,0.5
LSVM-84,class_weight,balanced
LSVM-84,dual,False
LSVM-84,loss,squared_hinge
LSVM-84,penalty,l2
LSVM-85,C,1
LSVM-85,class_weight,
LSVM-85,dual,False
LSVM-85,loss,squared_hinge
LSVM-85,penalty,l1
LSVM-86,C,1
LSVM-86,class_weight,
LSVM-86,dual,False
LSVM-86,loss,squared_hinge
LSVM-86,penalty,l2
LSVM-87,C,1
LSVM-87,class_weight,balanced
LSVM-87,dual,False
LSVM-87,loss,squared_hinge
LSVM-87,penalty,l1
LSVM-88,C,1
LSVM-88,class_weight,balanced
LSVM-88,dual,False
LSVM-88,loss,squared_hinge
LSVM-88,penalty,l2
LSVM-89,C,10
LSVM-89,class_weight,
LSVM-89,dual,False
LSVM-89,loss,squared_hinge
LSVM-89,penalty,l1
LSVM-90,C,10
LSVM-90,class_weight,
LSVM-90,dual,False
LSVM-90,loss,squared_hinge
LSVM-90,penalty,l2
LSVM-91,C,10
LSVM-91,class_weight,balanced
LSVM-91,dual,False
LSVM-91,loss,squared_hinge
LSVM-91,penalty,l1
LSVM-92,C,10
LSVM-92,class_weight,balanced
LSVM-92,dual,False
LSVM-92,loss,squared_hinge
LSVM-92,penalty,l2
LSVM-93,C,100
LSVM-93,class_weight,
LSVM-93,dual,False
LSVM-93,loss,squared_hinge
LSVM-93,penalty,l1
LSVM-94,C,100
LSVM-94,class_weight,
LSVM-94,dual,False
LSVM-94,loss,squared_hinge
LSVM-94,penalty,l2
LSVM-95,C,100
LSVM-95,class_weight,balanced
LSVM-95,dual,False
