model_id,param,value
LSVM-1,C,0.001
LSVM-1,loss,hinge
LSVM-1,penalty,l2
LSVM-2,C,0.001
LSVM-2,loss,squared_hinge
LSVM-2,penalty,l2
LSVM-3,C,0.05
LSVM-3,loss,hinge
LSVM-3,penalty,l2
LSVM-4,C,0.05
LSVM-4,loss,squared_hinge
LSVM-4,penalty,l2
LSVM-5,C,0.01
LSVM-5,loss,hinge
LSVM-5,penalty,l2
LSVM-6,C,0.01
LSVM-6,loss,squared_hinge
LSVM-6,penalty,l2
LSVM-7,C,0.2
LSVM-7,loss,hinge
LSVM-7,penalty,l2
LSVM-8,C,0.2
LSVM-8,loss,squared_hinge
LSVM-8,penalty,l2
LSVM-9,C,0.03
LSVM-9,loss,hinge
LSVM-9,penalty,l2
LSVM-10,C,0.03
LSVM-10,loss,squared_hinge
LSVM-10,penalty,l2
LSVM-11,C,0.05
LSVM-11,loss,hinge
LSVM-11,penalty,l2
LSVM-12,C,0.05
LSVM-12,loss,squared_hinge
LSVM-12,penalty,l2
LSVM-13,C,0.07
LSVM-13,loss,hinge
LSVM-13,penalty,l2
LSVM-14,C,0.07
LSVM-14,loss,squared_hinge
LSVM-14,penalty,l2
LSVM-15,C,0.1
LSVM-15,loss,hinge
LSVM-15,penalty,l2
LSVM-16,C,0.1
LSVM-16,loss,squared_hinge
LSVM-16,penalty,l2
LSVM-17,C,0.12
LSVM-17,loss,hinge
LSVM-17,penalty,l2
LSVM-18,C,0.12
LSVM-18,loss,squared_hinge
LSVM-18,penalty,l2
LSVM-19,C,0.15
LSVM-19,loss,hinge
LSVM-19,penalty,l2
LSVM-20,C,0.15
LSVM-20,loss,squared_hinge
LSVM-20,penalty,l2
LSVM-21,C,0.2
LSVM-21,loss,hinge
LSVM-21,penalty,l2
LSVM-22,C,0.2
LSVM-22,loss,squared_hinge
LSVM-22,penalty,l2
LSVM-23,C,0.25
LSVM-23,loss,hinge
LSVM-23,penalty,l2
LSVM-24,C,0.25
LSVM-24,loss,squared_hinge
LSVM-24,penalty,l2
LSVM-25,C,0.3
LSVM-25,loss,hinge
LSVM-25,penalty,l2
LSVM-26,C,0.3
LSVM-26,loss,squared_hinge
LSVM-26,penalty,l2
LSVM-27,C,0.5
LSVM-27,loss,hinge
LSVM-27,penalty,l2
LSVM-28,C,0.5
LSVM-28,loss,squared_hinge
LSVM-28,penalty,l2
LSVM-29,C,1
LSVM-29,loss,hinge
LSVM-29,penalty,l2
LSVM-30,C,1
LSVM-30,loss,squared_hinge
LSVM-30,penalty,l2
LSVM-31,C,2
LSVM-31,loss,hinge
LSVM-31,penalty,l2
LSVM-32,C,2
LSVM-32,loss,squared_hinge
LSVM-32,penalty,l2
LSVM-33,C,4
LSVM-33,loss,hinge
LSVM-33,penalty,l2
LSVM-34,C,4
LSVM-34,loss,squared_hinge
LSVM-34,penalty,l2
LSVM-35,C,8
LSVM-35,loss,hinge
LSVM-35,penalty,l2
LSVM-36,C,8
LSVM-36,loss,squared_hinge
LSVM-36,penalty,l2
LSVM-37,C,16
LSVM-37,loss,hinge
LSVM-37,penalty,l2
LSVM-38,C,16
LSVM-38,loss,squared_hinge
LSVM-38,penalty,l2
LSVM-39,C,32
LSVM-39,loss,hinge
LSVM-39,penalty,l2
LSVM-40,C,32
LSVM-40,loss,squared_hinge
LSVM-40,penalty,l2
LSVM-41,C,64
LSVM-41,loss,hinge
LSVM-41,penalty,l2
LSVM-42,C,64
LSVM-42,loss,squared_hinge
LSVM-42,penalty,l2
LSVM-43,C,128
LSVM-43,loss,hinge
LSVM-43,penalty,l2
LSVM-44,C,128
LSVM-44,loss,squared_hinge
LSVM-44,penalty,l2
LSVM-45,C,256
LSVM-45,loss,hinge
LSVM-45,penalty,l2
LSVM-46,C,256
LSVM-46,loss,squared_hinge
LSVM-46,penalty,l2
LSVM-47,C,512
LSVM-47,loss,hinge
LSVM-47,penalty,l2
LSVM-48,C,512
LSVM-48,loss,squared_hinge
LSVM-48,penalty,l2
LSVM-49,C,1024
