model_id,param,value
LSCM-1,C,0.0001
LSCM-1,loss,hinge
LSCM-1,penalty,l2
LSCM-2,C,0.0001
LSCM-2,loss,squared_hinge
LSCM-2,penalty,l2
LSCM-3,C,0.001
LSCM-3,loss,hinge
LSCM-3,penalty,l2
LSCM-4,C,0.001
LSCM-4,loss,squared_hinge
LSCM-4,penalty,l2
LSCM-5,C,0.01
LSCM-5,loss,hinge
LSCM-5,penalty,l2
LSCM-6,C,0.01
LSCM-6,loss,squared_hinge
LSCM-6,penalty,l2
LSCM-7,C,0.1
LSCM-7,loss,hinge
LSCM-7,penalty,l2
LSCM-8,C,0.1
LSCM-8,loss,squared_hinge
LSCM-8,penalty,l2
LSCM-9,C,0.25
LSCM-9,loss,hinge
LSCM-9,penalty,l2
LSCM-10,C,0.25
LSCM-10,loss,squared_hinge
LSCM-10,penalty,l2
LSCM-11,C,0.5
LSCM-11,loss,hinge
LSCM-11,penalty,l2
LSCM-12,C,0.5
LSCM-12,loss,squared_hinge
LSCM-12,penalty,l2
LSCM-13,C,1
LSCM-13,loss,hinge
LSCM-13,penalty,l2
LSCM-14,C,1
LSCM-14,loss,squared_hinge
LSCM-14,penalty,l2
LSCM-15,C,2
LSCM-15,loss,hinge
LSCM-15,penalty,l2
LSCM-16,C,2
LSCM-16,loss,squared_hinge
LSCM-16,penalty,l2
LSCM-17,C,4
LSCM-17,loss,hinge
LSCM-17,penalty,l2
LSCM-18,C,4
LSCM-18,loss,squared_hinge
LSCM-18,penalty,l2
LSCM-19,C,8
LSCM-19,loss,hinge
LSCM-19,penalty,l2
LSCM-20,C,8
LSCM-20,loss,squared_hinge
LSCM-20,penalty,l2
LSCM-21,C,16
LSCM-21,loss,hinge
LSCM-21,penalty,l2
LSCM-22,C,16
LSCM-22,loss,squared_hinge
LSCM-22,penalty,l2
LSCM-23,C,32
LSCM-23,loss,hinge
LSCM-23,penalty,l2
LSCM-24,C,32
LSCM-24,loss,squared_hinge
LSCM-24,penalty,l2
LSCM-25,C,64
LSCM-25,loss,hinge
LSCM-25,penalty,l2
LSCM-26,C,64
LSCM-26,loss,squared_hinge
LSCM-26,penalty,l2
LSCM-27,C,0.0001
LSCM-27,loss,squared_hinge
LSCM-27,penalty,l1
LSCM-28,C,0.001
LSCM-28,loss,squared_hinge
LSCM-28,penalty,l1
LSCM-29,C,0.01
LSCM-29,loss,squared_hinge
LSCM-29,penalty,l1
LSCM-30,C,0.1
LSCM-30,loss,squared_hinge
LSCM-30,penalty,l1
LSCM-31,C,0.25
LSCM-31,loss,squared_hinge
LSCM-31,penalty,l1
LSCM-32,C,0.5
LSCM-32,loss,squared_hinge
LSCM-32,penalty,l1
LSCM-33,C,1
LSCM-33,loss,squared_hinge
LSCM-33,penalty,l1
LSCM-34,C,2
LSCM-34,loss,squared_hinge
LSCM-34,penalty,l1
LSCM-35,C,4
LSCM-35,loss,squared_hinge
LSCM-35,penalty,l1
LSCM-36,C,8
LSCM-36,loss,squared_hinge
LSCM-36,penalty,l1
LSCM-37,C,16
LSCM-37,loss,squared_hinge
LSCM-37,penalty,l1
LSCM-38,C,32
LSCM-38,loss,squared_hinge
LSCM-38,penalty,l1
LSCM-39,C,64
LSCM-39,loss,squared_hinge
LSCM-39,penalty,l1
